City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Thompson,CA,55.7435,-97.8558,-9.24,77,75,4.61,broken clouds
137,Morros,BR,-9.4467,-46.3003,85.39,51,8,6.71,clear sky
138,Boda,CF,4.3189,17.4695,98.46,23,75,8.14,broken clouds
139,Cachira,CO,7.741,-73.0483,62.04,71,71,3.13,broken clouds
140,Monywa,MM,22.1167,95.1333,85.48,21,13,3.76,few clouds
141,Itacare,BR,-14.2775,-38.9967,82.09,69,33,6.89,scattered clouds
142,Talara,PE,-4.5772,-81.2719,79.56,69,0,18.41,clear sky
143,Vao,NC,-22.6667,167.4833,77.65,84,100,16.78,overcast clouds
144,Mount Isa,AU,-20.7333,139.5,74.97,83,100,3.44,light rain
145,Airai,TL,-8.9266,125.4092,59.74,88,100,3.62,overcast clouds
146,Morgan City,US,29.6994,-91.2068,71.02,98,100,4.97,overcast clouds
147,Norman Wells,CA,65.282,-126.8329,-5.28,95,100,7.78,overcast clouds
148,Nanortalik,GL,60.1432,-45.2371,36.0,79,8,13.49,clear sky
149,Khandyga,RU,62.6667,135.6,-40.85,100,55,2.37,broken clouds
150,Colonial Heights,US,37.268,-77.4073,55.15,97,100,3.44,light rain
151,Hirara,JP,24.8,125.2833,64.13,60,58,23.15,broken clouds
152,Ambilobe,MG,-13.2,49.05,83.03,75,49,5.55,light rain
153,Nome,US,64.5011,-165.4064,-5.73,59,0,6.91,clear sky
154,Champasak,LA,14.75,106.0,77.7,46,98,2.93,overcast clouds
155,Viedma,AR,-40.8135,-62.9967,72.86,37,0,5.39,clear sky
156,Joinville,BR,-26.3044,-48.8456,84.54,58,36,0.38,scattered clouds
157,Louis Trichardt,ZA,-23.0439,29.9032,81.07,46,33,10.85,scattered clouds
158,Tazovskiy,RU,67.4667,78.7,15.08,95,100,12.57,light snow
159,Lensk,RU,60.7253,114.9278,9.79,97,100,3.36,overcast clouds
160,Ust-Kuyga,RU,70.0167,135.6,-35.7,99,97,7.16,overcast clouds
161,Ancud,CL,-41.8697,-73.8203,57.38,83,8,2.19,clear sky
162,Karratha,AU,-20.7377,116.8463,87.19,68,92,16.8,light rain
163,Morogoro,TZ,-6.8167,37.6667,89.51,45,98,1.52,overcast clouds
164,Salalah,OM,17.0151,54.0924,82.49,54,0,5.75,clear sky
165,Bredasdorp,ZA,-34.5322,20.0403,79.97,55,0,15.1,clear sky
166,Coahuayana,MX,18.7333,-103.6833,65.52,85,43,3.96,scattered clouds
167,Lagoa,PT,39.05,-27.9833,60.12,82,35,21.5,scattered clouds
168,Tarata,BO,-17.6167,-66.0167,67.68,60,49,2.42,scattered clouds
169,Aklavik,CA,68.2191,-135.0107,-17.75,96,100,14.41,overcast clouds
170,Talnakh,RU,69.4865,88.3972,18.21,88,100,6.78,overcast clouds
171,Vardo,NO,70.3705,31.1107,31.98,80,0,13.8,light snow
172,General Roca,AR,-39.0333,-67.5833,74.62,25,6,5.66,clear sky
173,Chokurdakh,RU,70.6333,147.9167,-40.14,100,98,3.62,overcast clouds
174,Poso,ID,-1.3959,120.7524,77.65,82,100,3.69,overcast clouds
175,Dawson,US,31.7735,-84.4466,68.38,91,93,8.63,overcast clouds
176,Dulce Nombre De Culmi,HN,15.1,-85.5333,75.43,94,20,1.79,few clouds
177,Hilo,US,19.7297,-155.09,71.33,91,100,21.85,moderate rain
178,Kieta,PG,-6.2167,155.6333,79.57,85,100,5.28,light rain
179,Amapa,BR,1.0,-52.0,71.74,99,100,2.62,overcast clouds
180,Souillac,MU,-20.5167,57.5167,82.78,69,75,5.75,broken clouds
181,Wanparti,IN,16.3667,78.0667,85.46,22,0,11.01,clear sky
182,Port-Cartier,CA,50.0334,-66.8654,9.81,95,100,3.53,overcast clouds
183,Huanren,CN,41.2647,125.3667,28.44,51,0,6.08,clear sky
184,San Cristobal,VE,7.7669,-72.225,68.18,57,18,4.43,few clouds
185,Waingapu,ID,-9.6567,120.2641,77.38,85,100,10.58,overcast clouds
186,Cazones,MX,20.7167,-97.3167,73.2,100,75,4.61,fog
